date,campaign,channel,impressions,clicks,cost,conversions
2024-01-01,Campaign_A,Google,45230,892,234.50,23
2024-01-01,Campaign_A,Facebook,32100,567,189.75,15
2024-01-01,Campaign_A,Twitter,18900,234,98.25,8
2024-01-01,Campaign_B,Google,52340,1023,298.40,31
2024-01-01,Campaign_B,Facebook,41200,678,201.30,19
2024-01-01,Campaign_B,Twitter,22100,345,124.80,12
2024-01-01,Campaign_C,Google,38400,723,198.60,18
2024-01-01,Campaign_C,Facebook,29800,456,145.90,14
2024-01-01,Campaign_C,Twitter,16700,189,89.40,6
2024-01-02,Campaign_A,Google,47100,934,245.20,25
2024-01-02,Campaign_A,Facebook,33200,589,195.40,16
2024-01-02,Campaign_A,Twitter,19400,256,102.30,9
2024-01-02,Campaign_B,Google,54200,1089,312.80,34
2024-01-02,Campaign_B,Facebook,42600,701,208.70,21
2024-01-02,Campaign_B,Twitter,23400,367,129.60,13
2024-01-02,Campaign_C,Google,39800,745,205.40,19
2024-01-02,Campaign_C,Facebook,30900,478,152.30,15
2024-01-02,Campaign_C,Twitter,17200,198,93.20,7
2024-01-03,Campaign_A,Google,46800,912,241.80,24
2024-01-03,Campaign_A,Facebook,32800,578,192.60,15
2024-01-03,Campaign_A,Twitter,19100,245,100.50,8
2024-01-03,Campaign_B,Google,53600,1067,308.20,33
2024-01-03,Campaign_B,Facebook,42100,689,205.40,20
2024-01-03,Campaign_B,Twitter,23000,356,127.80,12
2024-01-03,Campaign_C,Google,39200,734,202.10,18
2024-01-03,Campaign_C,Facebook,30400,467,149.70,14
2024-01-03,Campaign_C,Twitter,16900,192,91.30,6
2024-01-04,Campaign_A,Google,48300,958,252.40,26
2024-01-04,Campaign_A,Facebook,34100,612,203.20,17
2024-01-04,Campaign_A,Twitter,19800,267,106.80,10
2024-01-04,Campaign_B,Google,55400,1134,324.60,36
2024-01-04,Campaign_B,Facebook,43800,723,216.90,23
2024-01-04,Campaign_B,Twitter,24200,389,135.40,14
2024-01-04,Campaign_C,Google,40600,767,210.80,20
2024-01-04,Campaign_C,Facebook,31600,498,159.60,16
2024-01-04,Campaign_C,Twitter,17600,206,97.20,8
2024-01-05,Campaign_A,Google,47600,945,248.70,25
2024-01-05,Campaign_A,Facebook,33600,601,199.80,16
2024-01-05,Campaign_A,Twitter,19500,261,104.70,9
2024-01-05,Campaign_B,Google,54800,1112,320.40,35
2024-01-05,Campaign_B,Facebook,43200,712,213.60,22
2024-01-05,Campaign_B,Twitter,23800,378,132.60,13
2024-01-05,Campaign_C,Google,40000,756,208.40,19
2024-01-05,Campaign_C,Facebook,31100,489,156.90,15
2024-01-05,Campaign_C,Twitter,17300,201,95.10,7